Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Automates),Inward issue link (Automates),Inward issue link (Automates),Inward issue link (Automates),Outward issue link (Automates),Outward issue link (Automates),Outward issue link (Automates),Outward issue link (Automates),Outward issue link (Automates),Outward issue link (Automates),Outward issue link (Automates),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Defect),Inward issue link (Defect),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Extension),Inward issue link (Extension),Outward issue link (Extension),Inward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Inward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Inward issue link (Test Case),Outward issue link (Test Case),Outward issue link (Test Case),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (API Version),Custom field (AT Jira FEAT),Custom field (Acceptance Criteria),Custom field (Actual End),Custom field (Actual Execution Date),Custom field (Actual Passed Date),Custom field (Actual Start),Custom field (Actual execution date),Custom field (Actual passed date),Custom field (Affected Version),Custom field (Age),Custom field (App Credentials),Custom field (BFF needed),Custom field (Backend Environment),Custom field (Baseline Effort),Custom field (Baseline End),Custom field (Baseline Start),Custom field (Baseline end date),Custom field (Baseline start date),Custom field (Business Functionality),Custom field (Business Value),Custom field (Category),Custom field (CorrelationID),Custom field (Crashlytics link),Custom field (Current Company),Custom field (Date of Baselining),Custom field (Date of assignment),Custom field (Date of first round),Custom field (Date of joining),Custom field (Date of offer release),Custom field (Date of test score),Custom field (Deployment Comments),Custom field (Deployment Date),Custom field (Design Link),Custom field (Design authority board),Custom field (Designation),Custom field (Developed by ICT India),Custom field (Discussion Due Date),Custom field (Discussion Status),Custom field (Discussion Status Description),Custom field (EM Name),Custom field (ETA of fix deployment),Custom field (Email),Custom field (End date),Custom field (Epic Link),Custom field (Estimate),Custom field (Expected MR complexity),Custom field (Experience),Custom field (ExternalId),Custom field (Feature group),Custom field (First Estimate),Custom field (First Interviewer),Custom field (Fixed Version Mulesoft Prod),Custom field (Fixed Version SFA Prod),Custom field (Fixed version Legacy),Custom field (Fixed version Mulesoft SIT),Custom field (Fixed version SFA SIT),Custom field (Function Points),Custom field (Global Priority),Custom field (Global SubPriority),Custom field (Go Live Summary),Custom field (Go Live Summary),Custom field (HAL Delivery),Custom field (HAL Natco Approval),Custom field (HAL Version),Custom field (IT Service Request - Employment Type),Custom field (In scope),Custom field (Integration),Custom field (Jenkins Console Link),Custom field (Jenkins Html Report),Custom field (Latest End),Custom field (Latest Start),Custom field (Legacy),Custom field (Login Credentials),Custom field (MK reference),Custom field (MR opened by),Custom field (MS-Project ID),Custom field (Microservice/DPS),Custom field (Migration),Custom field (Mobile),Custom field (Mobile Number),Custom field (Mulesoft),Custom field (Name),Custom field (NatCo),Custom field (OneApp Feature Group),Custom field (Origin),Custom field (Original User Story ID),Custom field (Out of scope),Custom field (Overdue Status),Custom field (Package),Custom field (Package),Custom field (Package),Custom field (Package),Custom field (Package),Custom field (Package),Custom field (Package),Custom field (Package),Custom field (Persona OS),Custom field (Phase),Custom field (Planned End),Custom field (Planned Execution Date),Custom field (Planned Pass Date),Custom field (Planned Start),Custom field (Planned execution date),Custom field (Planned passed date),Custom field (Pod),Custom field (Priority Sequence),Custom field (Prod Deployment Date),Custom field (Product Owner),Custom field (Program Increment),Custom field (Progress),Custom field (Project),Custom field (QA Assignee),Custom field (QA End Date),Custom field (QA Estimates),Custom field (QA Start Date),Custom field (QA Story Points),Custom field (Rank),Custom field (Reason for rejection),Custom field (Recruiter Name),Custom field (Release Date),Custom field (Release date),Custom field (Reproducibility),Custom field (Resolution Date),Custom field (Responsible Architect),Custom field (Responsible Developer),Custom field (Review Assignee),Custom field (Risk consequence),Custom field (Risk probability),Custom field (Role mapping),Custom field (Root Cause Reason),Custom field (Root Cause Reason),Custom field (SFA),Custom field (SLA miss reason),Custom field (Salesforce),Custom field (Scenario),Custom field (Scenario Type),Custom field (Second Interviewer),Custom field (Second Interviewer),Custom field (Short description),Custom field (Skill),Custom field (Solution Approval),Custom field (Solution Design),Custom field (Source),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Status of Resume),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Surname),Custom field (Target Build Backend),Custom field (Target Build Frontend),Custom field (Task Owner),Custom field (Task mode),Custom field (Task progress),Custom field (Team),Custom field (Team),Custom field (Team),Custom field (Team),Custom field (Team),Custom field (Third Interviewer),Custom field (Time link),Custom field (Time to SLA),Custom field (Total estimation),Custom field (Unblock Date),Custom field (User Scenario),Custom field (User Story),Custom field (User Value),Custom field (Velocity %),Custom field (Vendor Reference),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Watcher(s)),Custom field (Wireframe created),Custom field (Wireframe link),Custom field (Zeplin screen link),Custom field (due date),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Not only GR Products shown on console,USSFA-6844,206412,,Bug,Open,USSFA,Salesforce Automation ,software,dragos.jijau,,,Medium,,mrozycki,ELeodi,ELeodi,28/Jan/22 3:39 PM,28/Jan/22 4:00 PM,03/Feb/22 1:43 PM,,,,,0,GR,GRProd,,,,,,,"hello,

in production we should see only GR Level2 products but in addition to GR Products we also see Harmonized products.

can you please fix this?

!image-2022-01-28-15-38-18-046.png!

 

 ",prod,ELeodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28/Jan/22 3:38 PM;ELeodi;image-2022-01-28-15-38-18-046.png;https://jira.dtoneapp.telekom.net/secure/attachment/179210/image-2022-01-28-15-38-18-046.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2|i0getj:",,,1970-01-01 01:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELeodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change of account owner restrictions,USSFA-6824,204663,,Bug,fix prepared,USSFA,Salesforce Automation ,software,dragos.jijau,,,Medium,,mrozycki,ELeodi,ELeodi,20/Jan/22 1:56 PM,04/Feb/22 12:29 PM,07/Feb/22 1:45 AM,,,,,0,GR,GRProd,,,,,,,"Hello,

In uat we found Salesforce does not allow us to set as account owner any user that has Tele appointment profile and that should not happen. We should be able to set any user as an account owner

we don't face the same problem with users with other profiles (e.g. Sales profile)

When sytem admin tries to change account owner in Salesforce and select a user with tele appointment profile he gets the following error message

!image-2022-01-20-13-50-00-897.png!

we tried changing account owner in our legacy and publishing it on Salesforce.

for account with external id SF-05326083 we set as account owner user Glykeria Tzampatzi in our legacy 

!image-2022-01-20-13-53-34-656.png!

but it does not appear in salesforce and it caused a synchronization issue to that account 

!image-2022-01-20-13-53-53-022.png!",uat,dmyriounis,ELeodi,mrozycki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20/Jan/22 1:50 PM;ELeodi;image-2022-01-20-13-50-00-897.png;https://jira.dtoneapp.telekom.net/secure/attachment/177234/image-2022-01-20-13-50-00-897.png","20/Jan/22 1:53 PM;ELeodi;image-2022-01-20-13-53-34-656.png;https://jira.dtoneapp.telekom.net/secure/attachment/177233/image-2022-01-20-13-53-34-656.png","20/Jan/22 1:53 PM;ELeodi;image-2022-01-20-13-53-53-022.png;https://jira.dtoneapp.telekom.net/secure/attachment/177232/image-2022-01-20-13-53-53-022.png","20/Jan/22 4:49 PM;mrozycki;image-2022-01-20-15-49-25-378.png;https://jira.dtoneapp.telekom.net/secure/attachment/177295/image-2022-01-20-15-49-25-378.png","20/Jan/22 5:11 PM;dmyriounis;image-2022-01-20-17-11-02-530.png;https://jira.dtoneapp.telekom.net/secure/attachment/177311/image-2022-01-20-17-11-02-530.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2|i0g41z:",,,1970-01-01 01:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dmyriounis,ELeodi,mrozycki,,,,,,,,,,,,,,,,,,,,"20/Jan/22 1:57 PM;dmyriounis;If it is helpful you can find the debug logs here as well:

16:40:08.255 (5030147472)|FLOW_VALUE_ASSIGNMENT|49307765b136e2c82a384026587a17e72bd375f-2388|error.errorId|1564395691-4883305 (1803261046)
16:40:08.255 (5030164798)|FLOW_VALUE_ASSIGNMENT|49307765b136e2c82a384026587a17e72bd375f-2388|error.type|FLOW_INTERVIEW_SAVE_RESULT
16:40:08.255 (5030171409)|FLOW_VALUE_ASSIGNMENT|49307765b136e2c82a384026587a17e72bd375f-2388|error.apiErrorCode|TRANSFER_REQUIRES_READ
16:40:08.255 (5030177537)|FLOW_VALUE_ASSIGNMENT|49307765b136e2c82a384026587a17e72bd375f-2388|error.message|This error occurred when the flow tried to update records: TRANSFER_REQUIRES_READ: The new owner must have read permission. You can look up ExceptionCode values in the SOAP API Developer Guide.
16:40:08.255 (5030184799)|FLOW_VALUE_ASSIGNMENT|49307765b136e2c82a384026587a17e72bd375f-2388|error.endUserMessage|This error occurred when the flow tried to update records: TRANSFER_REQUIRES_READ: The new owner must have read permission. You can look up ExceptionCode values in the SOAP API Developer Guide.
16:40:09.271 (5271817767)|FLOW_ELEMENT_ERROR|The flow tried to update these records: a051X0000054aGyQAI. This error occurred: TRANSFER_REQUIRES_READ: The new owner must have read permission. You can look up ExceptionCode values in the <a href='[https://developer.salesforce.com/docs/atlas.en-us.api.meta/api/sforce_api_calls_concepts_core_data_objects.htm#]'>SOAP API Developer Guide</a>.|FlowRecordUpdate|myRule_1_A1
16:40:09.271 (5272226501)|FLOW_START_INTERVIEWS_END|1
16:40:09.271 (5276444565)|FLOW_ACTIONCALL_DETAIL|49257765b136e2c82a384026587a17e72bd375f-238d|myRule_6_A1|Flows|coredt__AccountSynchronizeNewPublicAccount|false|An error occurred when executing a flow interview.16:40:09.271 (5276799227)|FLOW_VALUE_ASSIGNMENT|49257765b136e2c82a384026587a17e72bd375f-238d|myRule_6_A1|false
16:40:09.271 (5283840924)|FLOW_BULK_ELEMENT_END|FlowActionCall|myRule_6_A1|0|11
16:40:09.271 (5295769738)|FLOW_VALUE_ASSIGNMENT|49257765b136e2c82a384026587a17e72bd375f-238d|error.errorId|1564395691-4883309 (-1107366997)
16:40:09.271 (5295793496)|FLOW_VALUE_ASSIGNMENT|49257765b136e2c82a384026587a17e72bd375f-238d|error.type|FLOW_INTERVIEW_SAVE_RESULT","20/Jan/22 4:50 PM;mrozycki;[~ELeodi] could you please check the production settings regarding Account object for 'GROTE Teleappointment Agent' profile? Navigate Setup -> Profiles -> 'GROTE Teleappointment Agent' -> Object settings -> check Account CRUD permissions, is READ permission available for this profile?

 

!image-2022-01-20-15-49-25-378.png!","20/Jan/22 5:11 PM;dmyriounis;Hi [~mrozycki], I confirm that Accounts for TeleApp Profile have Read available.

!image-2022-01-20-17-11-02-530.png!","25/Jan/22 1:05 AM;mrozycki;Fix preapred in local package version  [v1.66.0-1|https://gitlab.dtoneapp.telekom.net/sfa-group/sfa-grote/-/tags/v1.66.0-1]","28/Jan/22 4:07 PM;mrozycki;[~dmyriounis] is there a production hotfix package required for this one or including this fix in local release [v1.66.0-1|https://gitlab.dtoneapp.telekom.net/sfa-group/sfa-grote/-/tags/v1.66.0-1] version is enough? In case a production hotfix package is required please provide current local production package version.","28/Jan/22 4:58 PM;dmyriounis;Looping [~ipasialis] for package clarifications to [~mrozycki]. ","03/Feb/22 1:45 PM;dmyriounis;Hi [~mrozycki] you can include fixes in release [v1.66.0-1|https://gitlab.dtoneapp.telekom.net/sfa-group/sfa-grote/-/tags/v1.66.0-1] version as you stated above.","04/Feb/22 12:16 PM;mrozycki;Fix is prepared in [v1.66.0-1|https://gitlab.dtoneapp.telekom.net/sfa-group/sfa-grote/-/tags/v1.66.0-1] local version then, I've already sent this package on 01/26/2022, please comment here once the package is deployed, I'll change the Jira status then.","04/Feb/22 12:29 PM;dmyriounis;We'll do, thank you [~mrozycki]. 

Looping [~ampoura] [~ipasialis]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notification field on Contact Object,USSFA-6819,203879,,Bug,fix prepared,USSFA,Salesforce Automation ,software,dragos.jijau,,,Medium,,mrozycki,dmyriounis,dmyriounis,18/Jan/22 12:29 PM,04/Feb/22 12:16 PM,03/Feb/22 1:33 PM,,,,,0,GR,GRProd,,,,,,,"There is a checkbox on the Contact Object, called ""Notification"".

!image-2022-01-18-12-28-34-985.png!

 

Based on Confluence page: [https://confluence.dtoneapp.telekom.net/display/SFA/2.4.+Contact+fields] This field was never a request from GR Natco, please remove this field from the Page Layout and as a field in general from the Contact Object.",,dmyriounis,mrozycki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18/Jan/22 12:26 PM;dmyriounis;image-2022-01-18-12-26-46-270.png;https://jira.dtoneapp.telekom.net/secure/attachment/176522/image-2022-01-18-12-26-46-270.png","18/Jan/22 12:28 PM;dmyriounis;image-2022-01-18-12-28-34-985.png;https://jira.dtoneapp.telekom.net/secure/attachment/176521/image-2022-01-18-12-28-34-985.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2|i0fzb3:",,,1970-01-01 01:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18/Jan/22 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,dmyriounis,mrozycki,,,,,,,,,,,,,,,,,,,,,"25/Jan/22 1:21 AM;mrozycki;Fix preapred in local package version  [v1.66.0-1|https://gitlab.dtoneapp.telekom.net/sfa-group/sfa-grote/-/tags/v1.66.0-1]","28/Jan/22 4:07 PM;mrozycki;[~dmyriounis] is there a production hotfix package required for this one or including this fix in local release [v1.66.0-1|https://gitlab.dtoneapp.telekom.net/sfa-group/sfa-grote/-/tags/v1.66.0-1] version is enough? In case a production hotfix package is required please provide current local production package version.","28/Jan/22 4:59 PM;dmyriounis;Looping [~ipasialis] for package clarifications to [~mrozycki].","03/Feb/22 1:45 PM;dmyriounis;Hi [~mrozycki] you can include fixes in release [v1.66.0-1|https://gitlab.dtoneapp.telekom.net/sfa-group/sfa-grote/-/tags/v1.66.0-1] version as you stated above.","04/Feb/22 12:16 PM;mrozycki;Fix is prepared in [v1.66.0-1|https://gitlab.dtoneapp.telekom.net/sfa-group/sfa-grote/-/tags/v1.66.0-1] local version then, I've already sent this package on 01/26/2022, please comment here once the package is deployed, I'll change the Jira status then.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object Store key gets stuck (GR),USSFA-6774,201472,,Bug,Closed,USSFA,Salesforce Automation ,software,dragos.jijau,,,High,Done/Fixed,mgiannat,Gabor.Fal,Gabor.Fal,05/Jan/22 11:59 AM,10/Jan/22 5:27 PM,07/Feb/22 1:45 AM,10/Jan/22 5:26 PM,,,,0,PRODGR,,,,,,,,"It seems like in some cases even after succesful retry, the OS key is not cleared from the Object Store. 

Env: PRODGR

App: eda-sfdc2natco-gr

MasterID: SF-404ADAFF-210B-11e3-9240-000000000000 and  SF-72400989-FE8B-11e6-A84E-000000000000

 

If you search the attached log there will be some strange error on event failed (no log of the actual failure) to be processed, Object store key being logged then retry. Retry succeeds but OS key is not cleared. 

 

TraceID for SF-404ADAFF-210B-11e3-9240-000000000000:

Initial event:  330236b2-d390-4dea-8683-790271e3bd36

Retry event: cc75dcc7-5073-40cf-a514-857515b239f3

 

See log 2 file. 

 

I have cleared the OS now as I don't see any recurrance of the ID in the log (attached). 

fyi: [~mgiannat]",PRODGR - production,Gabor.Fal,mgiannat,msadowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/Jan/22 11:59 AM;Gabor.Fal;gr_stuck_os_key.log;https://jira.dtoneapp.telekom.net/secure/attachment/173384/gr_stuck_os_key.log","07/Jan/22 11:14 AM;Gabor.Fal;gr_stuck_os_key_2.txt;https://jira.dtoneapp.telekom.net/secure/attachment/174068/gr_stuck_os_key_2.txt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mulesoft,,,,,,,,GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2|i0fknz:",,,1970-01-01 01:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabor.Fal,mgiannat,msadowski,,,,,,,,,,,,,,,,,,,,"07/Jan/22 1:03 PM;msadowski;[~Gabor.Fal], [~mgiannat]

A fix has been deployed to the UAT environment and was tested internally. As per agreement with Michalis, we are waiting for a green light to deploy to PROD. 

Please find release notes below.

[https://confluence.dtoneapp.telekom.net/pages/viewpage.action?pageId=95321182]

 ","07/Jan/22 1:17 PM;mgiannat;Hi [~msadowski]. Thank you for the fix.

Let's monitor this for the next couple of days in UAT.

My proposal is to deploy this at prod +on Monday at 17.00 GR time+. Are you ok with this?

CC [~Gabor.Fal] [~edimaki] ","07/Jan/22 1:50 PM;msadowski;[~mgiannat]

Sure thing, Monday 17 GR works well. ","10/Jan/22 5:22 PM;msadowski;[~mgiannat]

Version 1.7.1 with the applied fix has now been successfully deployed to PRODGR.","10/Jan/22 5:27 PM;mgiannat;thank you",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update scratch-org creation scripts for all NatCos,USSFA-6733,195524,,Task,New,USSFA,Salesforce Automation ,software,dragos.jijau,,,Medium,,oberraj,oberraj,oberraj,30/Nov/21 4:05 PM,30/Nov/21 4:10 PM,07/Feb/22 1:45 AM,,,,,0,,,,,,,,,"Scratch-org creation scripts are outdated, lacking newer steps, and should be updated.",,oberraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,30/Nov/21 11:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CZ/SK,GR,Harmonized,HQ,HR,HU - MT,HU - TSHU,PL,,,,,,,,,,,,,,,,,,,,,"2|i0ekc7:",,,1970-01-01 01:00:00.0,,,,,oberraj,,,,,,,,,,,,,,,,,,,,,,30/Nov/21 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,oberraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[GR] Integration user does not have an access to new fields.,USSFA-6731,195437,,Bug,Closed,USSFA,Salesforce Automation ,software,dragos.jijau,,,High,Done/Fixed,mchojnacki,mchojnacki,mchojnacki,30/Nov/21 12:25 PM,05/Dec/21 10:16 PM,01/Dec/21 11:57 AM,05/Dec/21 10:16 PM,,,,0,,,,,,,,,"Within USSFA-6635 ticket, there were implemented: 
two new fields on GR SF:
 # vlocity_cmt__OneTimeTotal__c
 # vlocity_cmt__RecurringTotal__c

two new fields on HQ SF:
 # OneTimeTotal__c
 # RecurringTotal__c

As far as I can see, GR integration user has no access to fields from GR SF. It is likely that similar situation appears for HQ SF.

Please take respective access into account in SF package.

As this ticket is blocking USSFA-6635, please treat it with high priority.",,mchojnacki,tlaiszner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USSFA-6635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,30/Nov/21 12:00 AM,,,,,,,,,,,,,v0.58.0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR,HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,"2|i0ejsv:",,,1970-01-01 01:00:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30/Nov/21 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,mchojnacki,tlaiszner,,,,,,,,,,,,,,,,,,,,,"30/Nov/21 5:31 PM;tlaiszner;[~mchojnacki] The fix has been deployed to SIT/UAT. Can you please check on your end? Thank you!","01/Dec/21 3:54 AM;mchojnacki;Hi [~tlaiszner],

thank You for the information. Unfortunately, before new Salesforce package was deployed, I had updated these privileges manually to proceed with tests. However, I believe that everything is fine :)

CC [~pdlugosz]","05/Dec/21 10:16 PM;mchojnacki;*STATUS*:
I am closing this ticket. If problem comes up, I will create new task.

CC [~tlaiszner], [~pdlugosz].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
